stable_id,event_name,date,place,description,book_pages
E_CH4_001,Birth of Naser al-Molk,1272-11-14 AH,Tehran,Born to Ahmad Khan Sartip; grandson of Mirza Mahmud Khan,167
E_CH4_002,Oxford education,1295 AH onward,Oxford,Studied political science and mastered English and French,167
E_CH4_003,First audience with Naser al-Din Shah,"14 Jumada I, year not explicit",Tehran,Introduced through Amin al-Dowleh and grandfather,167
E_CH4_004,Granted title Moshir-e Hozur,1302 AH,Tehran,Granted at grandfather's request,168
E_CH4_005,Appointed head of Khorasan forces,1303 AH,Khorasan,Military-administrative appointment,168
E_CH4_006,Appointed royal aide-de-camp,1304 AH,Tehran,Aide-de-camp to Naser al-Din Shah,168
E_CH4_007,Inherited Naser al-Molk title and Hamadan governorship,8 Rabi II 1305 AH,Hamadan/Tehran,Succeeded grandfather; received royal decoration and portrait,169
E_CH4_008,Third royal European journey,1306-1307 AH,Europe,Accompanied Naser al-Din Shah and translated foreign material,169
E_CH4_009,Ottoman and Paris financial mission,1312 AH,Istanbul and Paris,Mission related to financial consequences of the Tobacco Concession,169-170
E_CH4_010,Extraordinary embassy announcing Mozaffar al-Din Shah,Qajar succession,Ottoman Empire and Britain,Sultan Abdolhamid II gave ceremonial sword for the shah,170
E_CH4_011,Appointed head of royal arsenal,1314 AH,Tehran,Delegated daily management to Hossein-Qoli Khan Zia al-Molk,170
E_CH4_012,Appointed Minister of Finance,1314 AH,Tehran,Served in Amin al-Dowleh cabinet,170-171
E_CH4_013,Removed after Amin al-Dowleh's fall,16 Safar 1316 AH,Tehran,Lost finance portfolio,171
E_CH4_014,Governor of Kurdistan,late Qajar period,Kurdistan,Governorship enabled closer supervision of Hamadan estates,"171,175"
E_CH4_015,Letter opposing immediate constitutionalism,pre-1906,Iran,Argued Iran lacked educated personnel for parliament and full equality,172-177
E_CH4_016,Hamadan grain/bread crisis,1324 AH era,Hamadan,Large landlords accused of withholding grain; Naser al-Molk among named khans,175-177
E_CH4_017,Nominated and appointed prime minister,1325 AH,Tehran,Chosen by First Majles after fall of Mirza Ahmad Khan Moshir al-Saltaneh,178-179
E_CH4_018,Presented 'family cabinet',1325 AH,"Majles, Tehran",Cabinet members had extensive kinship links,179
E_CH4_019,Royal oath to Constitution,1325 AH,"Majles, Tehran",Naser al-Molk arranged attendance and oath of shah and princes,179-180
E_CH4_020,First parliamentary national budget reforms,1325 AH,Tehran,"Reduced royal, princely, and court budgets",180
E_CH4_021,Resignation submitted during crisis,8 Dhu al-Qadah 1325 AH,Tehran,Shah initially refused resignation,181
E_CH4_022,Arrest and threatened execution,1325 AH,"Royal palace, Tehran",Mohammad Ali Shah ordered detention; British intervention saved him,181
E_CH4_023,Departure to Europe,1325 AH,Europe,Exile/departure required by shah,181
E_CH4_024,Refused later request to form cabinet,1327 AH,Europe/Iran,Mirza Javad Khan Sa'd al-Dowleh took charge instead,181-182
E_CH4_025,Foreign minister in two Sepahdar cabinets,1327 AH,Tehran,Served in first and second cabinets of Mohammad Vali Khan Sepahdar Tonekaboni,182
E_CH4_026,Election as regent,18 Ramadan 1328 AH,"Majles, Tehran",Won 40 of 71 votes; rival was Mostowfi al-Mamalek,182
E_CH4_027,Return to Tehran as regent,8 Safar 1329 AH,Tehran,Returned via Russian territory,182
E_CH4_028,Suppression of Mohammad Ali Shah restoration attempt,1329 AH period,Iran,"Regency faced rebellion of ex-shah, Salar al-Dowleh, and Shoa al-Saltaneh",182
E_CH4_029,Russian ultimatum and Shuster crisis,7 Dhu al-Hijjah 1329 AH,Iran,Russia demanded Shuster's dismissal,182-183
E_CH4_030,Closure of Second Majles,1329 AH,"Baharestan, Tehran",Yeprem Khan closed parliament on Naser al-Molk's order,183
E_CH4_031,Acceptance of ultimatum and dismissal of Shuster,1329 AH,Iran,Followed closure of parliament,183
E_CH4_032,Long stay abroad while regent,Rajab 1330 AH onward,"Ouchy, Switzerland/Europe",Continued receiving regency salary and estate income,184
E_CH4_033,Enthronement of Ahmad Shah,27 Sha'ban 1332 AH / 1914 CE,Tehran,Used birth date recorded on Quran to end minority and regency,185
E_CH4_034,Return after fall of Qajar dynasty,Pahlavi era,Iran,Returned to Iran after Qajar deposition,185
E_CH4_035,Death of Naser al-Molk,1306 SH / 1927 CE,Tehran,Died in Tehran,185
E_CH4_036,Divorce of Hossein Ali and Iran Khanom,Pahlavi era,Iran,"Hossein Ali paid 10,000 tomans to divorce Teymurtash's daughter",186
