person_name_id,person_id,name_text,language,name_type,is_preferred
1,P0001,Haji Mohammad Khan Jeyhunabadi,en,preferred,1
2,P0001,حاج محمدخان جیحون‌آبادی,fa,variant,0
3,P0003,Mostafa Qoli Khan E'temad al-Saltaneh,en,title-form,0
4,P0004,Abdollah Khan Sa'ed al-Saltaneh,en,title-form,0
5,P0004,Haji Amir Nezam,en,title-form,0
6,P0005,Mohtaj Ali Khan Ejlal al-Mamalek Amir Arfa',en,title-form,0
7,P0006,Mansur Ali Khan Sardar Akram,en,title-form,0
8,P0008,Gholam Hossein Khan Amiri Gharagozloo,en,variant,0
9,P0009,Ali Reza Amiri Gharagozloo,en,variant,0
10,P0012,Hossein Qoli Khan Amir Tuman,en,title-form,0
11,P0012,Hossein Qoli Khan Ejlal al-Dowleh,en,title-form,0
12,P0012,حسینقلی خان اجلال‌الدوله امیرتومان,fa,title-form,0
13,P0013,Nabi Khan Gharagozloo,en,preferred,1
14,P0013,نبی‌خان قراگوزلو,fa,preferred,1
15,P0014,Mahmoud Khan Gharagozloo,en,preferred,1
16,P0014,محمودخان قراگوزلو,fa,preferred,1
17,P0015,Abdollah Khan Gharagozloo (Herat officer),en,preferred,1
18,P0015,عبدالله خان قراگوزلو,fa,preferred,1
19,P0016,Shir Ali Khan Gharagozloo,en,preferred,1
20,P0016,شیرعلی خان قراگوزلو,fa,preferred,1
21,P0017,Rashid Khan Gharagozloo,en,preferred,1
22,P0017,رشیدخان قراگوزلو,fa,preferred,1
23,P0018,Rustam Khan Gharagozloo,en,preferred,1
24,P0019,Ali Khan Nosrat al-Molk Gharagozloo,en,preferred,1
25,P0020,Ali Naqi Khan Gharagozloo,en,preferred,1
26,P0021,Lotf Ali Khan Sartip Gharagozloo,en,preferred,1
27,P0022,Mohammad Hossein Khan Hosam al-Molk Gharagozloo,en,preferred,1
28,P0023,Zeyn al-Abedin Khan Hosam al-Molk Gharagozloo,en,preferred,1
29,P0024,Gholamreza Khan Ehtesham al-Saltaneh Gharagozloo,en,preferred,1
30,P0025,Aqa Jan Gharagozloo,en,preferred,1
31,P0026,Hasan Tupchi,en,preferred,1
32,P0027,Pavlov,en,preferred,1
