person_id,preferred_name_en,preferred_name_fa,sex,birth_date_text,death_date_text,branch,summary,verification_status,created_at,updated_at
P0001,Haji Mohammad Khan Jeyhunabadi,حاجی محمدخان جیحون‌آبادی,M,,,Hajilu / Amir Nezam Letgahi,Early documented ancestor in the Amir Nezam Letgahi chain.,confirmed,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0002,Mohammad Baqer Khan Gharagozloo,محمدباقرخان قراگوزلو,M,,,Hajilu / Amir Nezam Letgahi,Son of Haji Mohammad Khan Jeyhunabadi in the published lineage.,confirmed,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0003,Mostafa Qoli Khan Gharagozloo,مصطفی‌قلی خان قراگوزلو,M,,,Hajilu / Amir Nezam Letgahi,Known by the title E'temad al-Saltaneh; father of Abdollah Khan.,confirmed,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0004,Abdollah Khan Gharagozloo,عبدالله خان قراگوزلو,M,,,Hajilu / Amir Nezam Letgahi,Founder/leading figure of the Amir Nezam Letgahi family; associated with Letgah and Kabudarahang.,confirmed,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0005,Mohtaj Ali Khan Gharagozloo,محتاجعلی خان قراگوزلو,M,,,Hajilu / Amir Nezam Letgahi,Son of Abdollah Khan; titled Ejlal al-Mamalek and Amir Arfa'.,confirmed,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0006,Mansur Ali Khan Gharagozloo,منصورعلی خان قراگوزلو,M,,,Hajilu / Amir Nezam Letgahi,Son of Abdollah Khan; titled Sardar Akram. No descendants are shown in the book's figure.,confirmed,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0007,Gholam Ali Gharagozloo,غلامعلی قراگوزلو,M,,,Amiri branch,Brother of Gholamhossein Khan according to user-verified family tree.,provisional,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0008,Gholamhossein Khan Amiri Gharagozloo,غلامحسین خان امیری قراگوزلو,M,,,Amiri branch,Paternal grandfather of the user; connected under Mohtaj Ali Khan by user correction.,provisional,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0009,Dr. Alireza Amiri Gharagozloo,دکتر علیرضا امیری قراگوزلو,M,1931-05-05,2014-06,Amiri branch,Father of Hossein Gholi Amiri Gharagozloo; born in Hamadan.,confirmed,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0010,Hossein Gholi Amiri Gharagozloo,حسینقلی امیری قراگوزلو,M,,,Amiri branch,Project owner and family historian.,confirmed,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0011,Mohammad Hossein Khan Gharagozloo,محمدحسین خان قراگوزلو,M,,,Ashiqloo,Named in the user-supplied ancestral chain above Haji Mohammad Khan; exact published link remains to be tested.,unverified,2026-07-10T21:43:36.161953+00:00,2026-07-10T21:43:36.161953+00:00
P0012,Hossein Qoli Khan Gharagozloo,حسینقلی خان قراگوزلو,M,,,Hajilu / Amir Nezam Letgahi,Son of Abdollah Khan; Ejlal al-Dowleh and Amir Tuman; later titled Sa'ed al-Saltaneh.,confirmed,2026-07-10T23:42:26.268985+00:00,2026-07-10T23:42:26.268985+00:00
P0013,Nabi Khan Gharagozloo,نبی‌خان قراگوزلو,M,,1255 AH,Ashiqloo,Son of Mohammad Hossein Khan; senior Gharagozloo commander killed after being severely wounded in the Herat campaign.,confirmed,2026-07-11T01:52:40.066920+00:00,2026-07-11T01:52:40.066920+00:00
P0014,Mahmoud Khan Gharagozloo,محمودخان قراگوزلو,M,,,Ashiqloo / Naser al-Molk Bahari,Son of Nabi Khan and descendant of Mohammad Hossein Khan; later a prominent Qajar official.,confirmed,2026-07-11T01:52:40.066920+00:00,2026-07-11T01:52:40.066920+00:00
P0015,Abdollah Khan Gharagozloo (Herat officer),عبدالله خان قراگوزلو,M,,,Unresolved,"Yavar who supported Nabi Khan’s forces at Herat, was wounded, and received the rank of sarhang. Identity is not yet merged with other Abdollah Khans.",provisional,2026-07-11T01:52:40.066920+00:00,2026-07-11T01:52:40.066920+00:00
P0016,Shir Ali Khan Gharagozloo,شیرعلی خان قراگوزلو,M,,,,Gharagozloo soldier who repeatedly climbed the Herat fortress wall and attempted to plant the victory flag.,confirmed,2026-07-11T01:52:40.066920+00:00,2026-07-11T01:52:40.066920+00:00
P0017,Rashid Khan Gharagozloo,رشیدخان قراگوزلو,M,,,,Colonel of the Mokhberan regiment wounded in the leg during the Herat fighting.,confirmed,2026-07-11T01:52:40.066920+00:00,2026-07-11T01:52:40.066920+00:00
P0018,Rustam Khan Gharagozloo,رستم خان قراگوزلو,M,,,Ashiqloo,Gharagozloo brigadier active in the southern campaigns against British forces.,confirmed,2026-07-11T03:59:46.139916+00:00,2026-07-11T03:59:46.139916+00:00
P0019,Ali Khan Nosrat al-Molk Gharagozloo,علی خان نصرت‌الملک قراگوزلو,M,,,Ashiqloo,Son of Rustam Khan; senior Gharagozloo officer active in southern Iran and Kerman.,confirmed,2026-07-11T03:59:46.139916+00:00,2026-07-11T03:59:46.139916+00:00
P0020,Ali Naqi Khan Gharagozloo,علینقی خان قراگوزلو,M,,,,Commander of the Dargazin infantry regiment in the Laristan campaign.,confirmed,2026-07-11T03:59:46.139916+00:00,2026-07-11T03:59:46.139916+00:00
P0021,Lotf Ali Khan Sartip Gharagozloo,لطفعلی خان سرتیپ قراگوزلو,M,,,,Commander associated with the sixth Gharagozloo regiment in Kerman.,confirmed,2026-07-11T03:59:46.139916+00:00,2026-07-11T03:59:46.139916+00:00
P0022,Mohammad Hossein Khan Hosam al-Molk Gharagozloo,محمدحسین خان حسام‌الملک قراگوزلو,M,,,Ashiqloo,Son of Ali Khan; Gharagozloo officer rewarded for service in Kerman.,confirmed,2026-07-11T03:59:46.139916+00:00,2026-07-11T03:59:46.139916+00:00
P0023,Zeyn al-Abedin Khan Hosam al-Molk Gharagozloo,زین‌العابدین خان حسام‌الملک قراگوزلو,M,,,Ashiqloo,Prominent Gharagozloo khan active in Kermanshah and Hamadan politics.,confirmed,2026-07-11T03:59:46.139916+00:00,2026-07-11T03:59:46.139916+00:00
P0024,Gholamreza Khan Ehtesham al-Saltaneh Gharagozloo,غلامرضا خان احتشام‌السلطنه قراگوزلو,M,,,Ashiqloo,Son of Zeyn al-Abedin Khan; married Qamar al-Saltaneh in 1309 AH.,confirmed,2026-07-11T03:59:46.139916+00:00,2026-07-11T03:59:46.139916+00:00
P0025,Aqa Jan Gharagozloo,آقاجان قراگوزلو,M,,,,"Gharagozloo officer with the rank of yavar, involved in a diplomatic incident with the Russian embassy in 1313 AH.",confirmed,2026-07-11T05:49:59.145248+00:00,2026-07-11T05:49:59.145248+00:00
P0026,Hasan Tupchi,حسن توپچی,M,,,,Servant of Aqa Jan Gharagozloo involved in the death of a Russian coachman.,confirmed,2026-07-11T05:49:59.145248+00:00,2026-07-11T05:49:59.145248+00:00
P0027,Pavlov,پاولوف,M,,1313 AH,,Russian coachman killed during an altercation involving Hasan Tupchi.,confirmed,2026-07-11T05:49:59.145248+00:00,2026-07-11T05:49:59.145248+00:00
