artifact_id,source_id,printed_page,artifact_type,title,caption_fa,description,transcription_status,confidence,file_reference,notes
A0001,S0001,199,portrait,Naser al-Molk Gharagozloo,تصویر ۱ - ناصرالملک قراگوزلوی همدانی,"Formal portrait; caption cites Gholamhossein Gharagozloo, Hegmataneh ta Hamadan (1385 SH).",cataloged,confirmed,,
A0002,S0001,200,portrait,Abdollah Khan Sarem al-Dowleh,تصویر ۲ - سرتیپ عبدالله خان صارم‌الدوله ملقب به سردار باتمانقلیچ,Full-length military portrait.,cataloged,confirmed,,
A0003,S0001,201,portrait,Hossein Khan Hesam al-Molk I,تصویر ۳ - امیرتومان (سرلشگر) حسین خان حسام‌الملک اول، پدر امیرافخم,Decorated military portrait; exact person linkage remains under review.,cataloged,confirmed,," Wave 3: caption securely identifies the subject as father of Amir Afkham, but exact alignment with canonical P0022 should remain under review."
A0004,S0001,202,portrait,Amir Afkham Hesam al-Molk II,تصویر ۴ - سرتیپ امیرافخم حسام‌الملک دوم,Formal portrait; linked provisionally to Zeyn al-Abedin Khan Hesam al-Molk.,cataloged,confirmed,," Wave 3: linked to canonical P0023; caption numbering is documentary wording, not a replacement canonical name."
A0005,S0001,203,portrait,Gholamreza Khan Ehtesham al-Dowleh,غلامرضاخان احتشام‌الدوله فرزند امیرافخم، داماد مظفرالدین شاه,Formal portrait.,cataloged,confirmed,,
A0006,S0001,204,document,Historical document image 1,,Handwritten Persian document; transcription deferred because scan is difficult to read.,needs_transcription,unverified,,
A0007,S0001,205,document,Historical document image 2,,Handwritten administrative document with endorsements/signatures; transcription deferred.,needs_transcription,unverified,,
A0008,S0001,206,document,Historical document image 3,,Ruled official document with seal/stamp; transcription deferred.,needs_transcription,unverified,,
A0009,S0001,207,document,Historical document image 4,,Faint handwritten document or dispatch face; transcription deferred.,needs_transcription,unverified,,
A0010,S0001,208,map,Migration map 1,نقشه شماره یک,Authorial reconstruction of four major movements of Turkic tribes across the Iranian plateau.,cataloged,confirmed,,
A0011,S0001,209,map,Migration map 2,نقشه شماره دو,Authorial reconstruction of Gharagozloo location and movements in Iran.,cataloged,confirmed,,
A0012,S0001,210,diagram,Gharagozloo tribal organization,شکل شماره یک - تبارشناسی خاندان قراگوزلو,"Diagram from takhmeh to dudman to obeh and major branches Hajilu, Ashiqloo, and Uzbeklu; one label is printed with uncertainty.",cataloged,confirmed,,
A0013,S0001,211,genealogy,Historical Gharagozloo figures to the Zand era,شکل شماره دو,Genealogical/historical chart; printed question marks are retained as uncertainty.,cataloged,confirmed,,
A0014,S0001,212,genealogy,Ashiqloo genealogy,شکل شماره سه - رجال‌شناسی تیره عاشیقلوهای قراگوزلو,Genealogical chart centered on Mohammad Hossein Khan and descendants.,cataloged,confirmed,,
A0015,S0001,213,genealogy,Hajilu genealogy,شکل شماره چهار - رجال‌شناسی تیره حاجیلوهای قراگوزلو,Large genealogical chart including the Amir Nezam Letgahi line; fine-grained nodes require image-level review.,cataloged,confirmed,,
