event_id,person_id,role
E0001,P0004,appointed governor; petitioner
E0001,P0012,received Sa'ed al-Saltaneh
E0001,P0005,received Ejlal al-Mamalek
E0002,P0013,commander
E0002,P0015,supporting officer
E0002,P0016,soldier
E0002,P0017,wounded officer
E0004,P0003,commander at Bandar Lengeh
E0004,P0018,brigadier with artillery
E0004,P0019,officer and son of Rustam Khan
E0005,P0020,commander of Dargazin regiment
E0006,P0019,senior officer in Kerman
E0006,P0021,commander of sixth Gharagozloo regiment
E0006,P0022,garrison officer rewarded for service
E0007,P0023,father and organizer
E0007,P0024,groom
E0008,P0023,detained khan
E0009,P0023,governor
E0010,P0025,officer transferred to Russian embassy
E0010,P0026,servant involved in altercation
E0010,P0027,deceased Russian coachman
E0011,P0004,commander titled Saed al-Saltaneh
E0012,P0014,appointed colonel and commander
E0013,P0014,Iranian envoy to Russia
E0014,P0014,industrial sponsor
E0015,P0014,minister of commerce
E0016,P0028,deceased khan
E0016,P0020,deceased khan
E0016,P0019,deceased khan
E0016,P0031,deceased khan
E0016,P0003,deceased khan
E0016,P0014,deceased khan
E0016,P0022,deceased khan
E0017,P0004,governor titled Sardar Akram
E0018,P0023,co-founder
E0018,P0032,co-founder
E0019,P0023,major landowning khan
E0019,P0024,participant in resistance
E0020,P0035,victim
E0020,P0023,ordering authority identified by the book
E0020,P0024,custodian before killing
E0020,P0036,advocated clemency
E0021,P0004,regimental commander
E0021,P0006,regimental commander
E0021,P0023,Qajar commander
E0022,P0004,commander whose conduct was disputed
E0022,P0023,later joined government forces
E0023,P0040,regent ordering closure
E0024,P0023,pro-Russian intermediary and governor
E0025,P0004,arrested former war minister
E0026,P0039,Hamadan representative
E0027,P0040,principal subject
E0028,P0040,principal subject
E0029,P0040,principal subject
E0030,P0040,principal subject
E0031,P0040,principal subject
E0032,P0040,principal subject
E0033,P0040,principal subject
E0034,P0040,principal subject
E0035,P0040,principal subject
E0036,P0040,principal subject
E0037,P0040,principal subject
E0038,P0040,principal subject
E0039,P0040,principal subject
E0040,P0040,principal subject
E0041,P0040,principal subject
E0042,P0040,principal subject
E0043,P0040,principal subject
E0044,P0040,principal subject
E0045,P0040,principal subject
E0046,P0040,principal subject
E0047,P0040,principal subject
E0048,P0040,principal subject
E0049,P0040,principal subject
E0050,P0040,principal subject
E0051,P0040,principal subject
E0052,P0040,principal subject
E0053,P0040,principal subject
E0054,P0040,principal subject
E0055,P0040,principal subject
E0056,P0040,principal subject
E0057,P0040,principal subject
E0058,P0040,principal subject
E0059,P0040,principal subject
E0060,P0040,principal subject
E0061,P0040,principal subject
E0062,P0040,principal subject
E0048,P0047,monarch/orderer
E0048,P0053,diplomatic intervener
E0052,P0059,rival candidate
E0056,P0050,executed closure order
E0055,P0051,financial adviser
E0062,P0041,husband
E0062,P0055,wife
E0044,P0056,cabinet member
E0044,P0057,cabinet member
E0044,P0058,cabinet member
E0044,P0059,cabinet member
E0044,P0060,cabinet member
E0044,P0061,cabinet member
E0063,P0066,participant
E0064,P0067,governor and commander
E0065,P0068,commander
E0066,P0068,envoy and victim
E0067,P0069,officer
E0068,P0070,appointee
E0069,P0071,defender/leader
E0071,P0072,tribal leader
E0071,P0011,political advocate/commander
E0071,P0073,political advocate/commander
E0072,P0011,governor
E0073,P0073,commander
E0074,P0011,commander
E0075,P0099,deceased
