assignment_id,person_id,role_id,organization_id,place_id,date_text,start_date_text,end_date_text,appointing_authority_text,notes,verification_status
PRA0001,P0023,ROLE0002,,,1304 AH,,,,Reportedly purchased the rank of Sartip-e Awwal.,confirmed
PRA0002,P0004,ROLE0003,ORG0104,,,,,,Colonel of the Fadavi Regiment during his father's lifetime.,confirmed
PRA0003,P0004,ROLE0002,ORG0104,,,,,,Later commanded the regiment with the rank of Sartip.,confirmed
PRA0004,P0012,ROLE0008,ORG0104,,,,,,Succeeded to command of the Fadavi Regiment.,confirmed
PRA0005,P0064,ROLE0002,ORG0103,,,,,,Promoted to Sartip in connection with command succession.,confirmed
PRA0006,P0067,ROLE0012,,L0001,,,,,Narrative identifies Badr al-Din Gharagoz as governor of Hamadan.,confirmed
PRA0007,P0070,ROLE0012,,L0040,1129 AH,,,Safavid court,Appointed governor of Kerman.,confirmed
PRA0008,P0073,ROLE0013,,L0047,early Qajar period,,,,S0001 describes Nasrollah Khan as head of the Gharagozloo forces in Fars.,confirmed
PRA0009,P0073,ROLE0014,,L0047,1215 AH,1215 AH,,,Sir John Malcolm is cited by S0001 as identifying him as military administrator of the army in Fars.,confirmed
PRA0010,P0073,ROLE0015,,L0047,1220 AH - Nowruz 1223 AH,1220 AH,Nowruz 1223 AH,Fath-Ali Shah Qajar,Appointed Minister of Fars in 1220 AH and replaced by Mohammad Nabi Khan at Nowruz 1223 AH.,confirmed
