bibliography_id,category,raw_entry_fa,normalization_status
B0001,books,تمامیان پرواند)۹۸۳۱(.ایران بین دو ،انقلاب ترجمه احمدگل محمدی و محمد ابراهیم فتاحی ،تهران شرقی,raw_ocr_reviewed
B0002,books,ربیت فریدون ( ،)۵۵۳۱ایدئولوژی نهضت مشروطیت ایران تهران نشر پیام ره حسین (.گردآورنده)()٩٦٣١تاریخ جنگهای ایران و ،روس یادداشت های میرزا محمد صادق وقایعنگار مروزی آهنگ سروش) ،مصحح امیر هوشنگ آذر ،تهران ،نشر مصحح. صف ،محمدهاشم.)٢٥٣١(.رستمالتواریخ ،تصحیح محمد مشیری ،تهران ،امیرکبیر,raw_ocr_reviewed
B0003,books,آوری ،پیتر ( ،)۹۶۳۱تاریخ معاصر ایران ترجمه محمدرفیع مهرآبادی ،تهران ،بیجا. بنخلدون ،عبدالرحمان (.)٥٤٣١مقدمه ،ترجمه محمد پروین گنابادی تهران بنگاه ترجمه و نشر کتاب,raw_ocr_reviewed
B0004,books,اذکایی ،پرویز (بی تا)دستنوشتههای تاریخ معاصر همدان ،همدان سازمان اسناد و کتابخانه ملی غرب کشور,raw_ocr_reviewed
B0005,books,اذکایی ،پرویز ( ،)۵۸۳۱فرهنگ مردم همدان همدان انتشارات دانشگاه بوعلی سینا. اشرف ،احمد ()١٦٣١دهقان ،زمین ،انقلاب مسائل ارضی و دهقانی ،تهران ،انتشارات آگاه,raw_ocr_reviewed
B0006,books,اصفهانیان کریم و دیگران گردآورندگان)( ،)۵۸۳۱اسناد تاریخی خاندان غفاری ،تهران ،بنیاد موقوفات دکتر محمود افشار,raw_ocr_reviewed
B0007,books,میرزا خانلرخان ()۱۵۳۱سفرنامه خانلرخان اعتصام الملک ،تهران ،انتشارات منوچهر اعتصام الملک محمودی اعتمادالسلطنه ،محمدحسن خان ( ،)٧٦٣١تاریخ منتظم ناصری ،مصحح محمد اسماعیل رضوانی ،تهران، دنیای کتاب اعتمادالسلطنه محمد حسن خان ()٤٧٣١چهل سال تاریخ ایران مصحح ایرج افشار ،تهران ،انتشارات اساطير.,raw_ocr_reviewed
B0008,books,اعتمادالسلطنه ،محمدحسن خان ()۷۷۳۱روزنامه خاطرات اعتمادالسلطنه با مقدمه ایرج افشار ،تهران، امير كبير.,raw_ocr_reviewed
B0009,books,اعتمادالسلطنه محمد حسن خان ()۷۵۳۱صدر،التواريخ مصحح محمد ،مشیری ،تهران ،کتابخانه و سازمان اسناد ملی ایران,raw_ocr_reviewed
B0010,books,افشار ،ایرج (گردآورنده)()۰۸۳۱دفتر تاریخ مجموعه اسناد و منابع تاریخی مصحح ایرج افشار ،تهران، بنیاد موقوفات دکتر محمود افشار افضلالتواريخ مصحح منصوره اتحادیه و سیروس سعدوندیان افضل الملک میرزا غلامحسین (، ،)١٦٣١ تهران ،نشر تاریخ ایران,raw_ocr_reviewed
B0011,books,الموتى ،مصطفی )٤٧٣١(،بازیگران سیاسی از مشروطیت تا سال ،۷۵۳۱لندن ،یکا,raw_ocr_reviewed
B0012,books,ایروانی ،آبراهام ()۳۹۳۱تاریخ جنگها گزارش نبردهای ایران و عثمانی پس از سقوط صفویه,raw_ocr_reviewed
B0013,books,( ،)۱۲۷۱-۸۳۷۱ترجمه فاطمه ،اورجی ،تهران ،پژوهشکده تاریخ اسلام,raw_ocr_reviewed
B0014,books,با مداد ،مهدی ،)۳۹۳۱(.شرححال رجال ایران تهران گلشن,raw_ocr_reviewed
B0015,books,بختیاری ،علیقلی ()۷۳۱تاریخ بختیاری تهران ،انتشارات اساطیر بدیع تبریزی شمس الدین ()٠٦٣١مناسبات ارضی در ایران ،معاصر ترجمه غلامحسین متین ،تهران، انتشارات اخگر,raw_ocr_reviewed
